OrderID,Product,Region,Sales Channel,Sales Rep,Units Sold,Unit Price,Total Revenue,Order Date,Customer Email
ORD1000,Camera,West,Online,Bob,52,91.8,4773.599999999999,2021-01-01 00:00:00,user1327@example.com
ORD1001,Camera,West,Wholesale,Frank,93,129.43,12036.99,2021-01-01 01:00:00,user2465@example.com
ORD1002,Laptop,South,Online,Alice,15,141.12,2116.8,2021-01-01 02:00:00,user1946@example.com
ORD1003,Laptop,North,Wholesale,Frank,72,174.48,12562.56,2021-01-01 03:00:00,user1326@example.com
ORD1004,Keyboard,North,Online,Bob,61,377.2,23009.2,2021-01-01 04:00:00,user6881@example.com
ORD1005,Mouse,East,Wholesale,Charlie,21,290.24,6095.04,2021-01-01 05:00:00,user4014@example.com
ORD1006,Keyboard,North,Wholesale,David,83,493.26,,2021-01-01 06:00:00,user2034@example.com
ORD1007,Monitor,South,Retail,David,87,213.22,18550.14,2021-01-01 07:00:00,user5077@example.com
ORD1008,Tablet,East,Retail,David,75,379.39,28454.25,2021-01-01 08:00:00,user9503@example.com
ORD1009,Camera,North,Retail,Alice,75,437.02,32776.5,2021-01-01 09:00:00,user6382@example.com
ORD1010,Laptop,North,Wholesale,Bob,88,342.7,30157.6,2021-01-01 10:00:00,user9181@example.com
ORD1011,Camera,West,Retail,Frank,24,211.81,5083.4400000000005,2021-01-01 11:00:00,user3890@example.com
ORD1012,Mouse,North,Online,David,3,379.26,1137.78,2021-01-01 12:00:00,user4451@example.com
ORD1013,Keyboard,East,Retail,Eva,22,109.8,2415.6,2021-01-01 13:00:00,user6940@example.com
ORD1014,Tablet,North,Online,David,53,170.5,9036.5,2021-01-01 14:00:00,user4927@example.com
ORD1015,Laptop,North,Online,Charlie,2,277.88,555.76,2021-01-01 15:00:00,user7683@example.com
ORD1016,Camera,East,Retail,Frank,88,291.95,25691.6,2021-01-01 16:00:00,user5563@example.com
ORD1017,Tablet,East,Retail,David,30,20.85,625.5,2021-01-01 17:00:00,user2563@example.com
ORD1018,Keyboard,East,Retail,Alice,38,473.11,17978.18,2021-01-01 18:00:00,user5600@example.com
ORD1019,Mouse,North,Online,Alice,2,351.35,702.7,2021-01-01 19:00:00,user8475@example.com
ORD1020,Printer,North,Online,Eva,64,252.89,16184.96,2021-01-01 20:00:00,user6767@example.com
ORD1021,Monitor,North,Retail,Charlie,60,467.23,28033.800000000003,2021-01-01 21:00:00,user2325@example.com
ORD1022,Printer,East,Wholesale,Frank,21,225.16,4728.36,2021-01-01 22:00:00,user8707@example.com
ORD1023,Camera,East,Online,Bob,33,490.41,16183.53,2021-01-01 23:00:00,user2067@example.com
ORD1024,Laptop,North,Wholesale,Alice,76,261.02,19837.519999999997,2021-01-02 00:00:00,user1150@example.com
ORD1025,Laptop,West,Retail,Charlie,58,66.0,3828.0,2021-01-02 01:00:00,user6099@example.com
ORD1026,Keyboard,East,Wholesale,Alice,22,384.75,8464.5,2021-01-02 02:00:00,user2935@example.com
ORD1027,Smartphone,South,Retail,David,89,342.66,30496.74,2021-01-02 03:00:00,user7271@example.com
ORD1028,Laptop,West,Online,Eva,49,388.76,19049.239999999998,2021-01-02 04:00:00,user5804@example.com
ORD1029,Smartphone,East,Wholesale,Eva,91,476.21,43335.11,2021-01-02 05:00:00,user6925@example.com
ORD1030,Mouse,North,Wholesale,Eva,59,390.48,23038.32,2021-01-02 06:00:00,user7120@example.com
ORD1031,Tablet,West,Online,Frank,42,309.55,13001.1,2021-01-02 07:00:00,user1925@example.com
ORD1032,Smartphone,East,Wholesale,David,92,430.08,39567.36,2021-01-02 08:00:00,user8666@example.com
ORD1033,Tablet,North,Retail,Frank,60,339.89,20393.399999999998,2021-01-02 09:00:00,user9199@example.com
